,type,address_1,address_2,open_hours,city,state,postal_code,latitude,longitude
97,Pizza Hut,611 E. Avalon Ave,,10:00 AM - 10:00 PM,Muscle Shoals,AL,35661,34.7561,-87.6304
98,Pizza Hut,720 2nd Ave E,,10:00 AM - 8:00 PM,Oneonta,AL,35121,33.9259,-86.4741
99,Pizza Hut Express,2640 Enterprise Drive,,,Opelika,AL,36801,32.6454,-85.3783
100,Pizza Hut,3611 Pepperell Pkwy,,11:00 AM - 10:00 PM,Opelika,AL,36801,32.6454,-85.3783
101,Pizza Hut,902 Florala Highway 331 South,,11:00 AM - 10:00 PM,Opp,AL,36467,31.2799,-86.2571
102,Pizza Hut,25908-I Canal Road,,10:00 AM - 11:00 PM,Orange Beach,AL,36561,30.281,-87.5815
103,Pizza Hut,6585 B Hwy 431S,,11:00 AM - 10:00 PM,Owens Cross Roads,AL,35763,34.6215,-86.4644
104,Pizza Hut,202 Hamric Dr E,,11:00 AM - 11:00 PM,Oxford,AL,36203,33.5815,-85.8328
105,Pizza Hut,1110 280 Byp,,11:00 AM - 11:00 PM,Phenix City,AL,36867,32.4978,-85.0234
106,Pizza Hut,2319 Lee Road 427,Suite 1,,Phenix City,AL,36867,32.4978,-85.0234
107,Pizza Hut Express,2953 Legends Parkway,,,Prattville,AL,36066,32.4787,-86.43
108,Pizza Hut,711 E Main St,,10:00 AM - 10:00 PM,Prattville,AL,36067,32.4715,-86.4831
109,Pizza Hut,3 Independent Dr,,10:00 AM - 10:00 PM,Rainbow City,AL,35906,33.9318,-86.0898
110,Pizza Hut,200 Main St W,Ste. 102,11:00 AM - 10:00 PM,Rainsville,AL,35986,34.4989,-85.8446
111,Pizza Hut,3019 Highway 431 Byp S,,10:30 AM - 10:00 PM,Roanoke,AL,36274,33.1512,-85.3722
112,Pizza Hut,22722 Hwy. 59 S.,,10:00 AM - 10:00 PM,Robertsdale,AL,36567,30.5616,-87.6373
113,Pizza Hut,16086 US Hwy 72,,11:00 AM - 10:00 PM,Rogersville,AL,35652,34.8495,-87.3237
114,Pizza Hut,13450 Highway 43,,10:00 AM - 10:00 PM,Russellville,AL,35653,34.5066,-87.7257
115,Pizza Hut,12 Hwy. 43 South,,10:00 AM - 10:00 PM,Saraland,AL,36571,30.8332,-88.0934
116,Pizza Hut,3310 S. Broad Street,,10:30 AM - 10:00 PM,Scottsboro,AL,35769,34.618,-86.0562
117,Pizza Hut,1121 Highland Ave,,11:00 AM - 10:00 PM,Selma,AL,36703,32.4156,-87.0135
118,Pizza Hut Express,2530 US Hwy 80,Lion's Pride Cross Roads,,Selma,AL,36701,32.4197,-87.0245
119,Pizza Hut,426 W. Lawrence Harris Hwy.,,10:30 AM - 9:00 PM,Slocomb,AL,36375,31.0956,-85.583
120,Pizza Hut,10179 Eastern Shore Blvd.,Space 103,10:00 AM - 10:00 PM,Spanish Fort,AL,36527,30.6959,-87.8867
121,Pizza Hut,300 Springville Station Rd.,Ste. 1500,10:00 AM - 10:00 PM,Springville,AL,35146,33.7386,-86.4394
122,Pizza Hut,620 W Fort Williams St,,10:30 AM - 10:00 PM,Sylacauga,AL,35150,33.1717,-86.2713
123,Pizza Hut,205 Battle Street East,,10:30 AM - 10:00 PM,Talladega,AL,35160,33.4354,-86.1134
124,Pizza Hut,1514 Gilmer Avenue,,10:30 AM - 10:00 PM,Tallassee,AL,36078,32.551,-85.8978
125,Pizza Hut,5827 Hwy. 90 West,Suite A,10:00 AM - 10:00 PM,Theodore,AL,36582,30.5444,-88.1807
126,Pizza Hut,33566 Hwy. 43 N.,,10:00 AM - 9:00 PM,Thomasville,AL,36784,31.9067,-87.7598
127,Pizza Hut,109 Hwy 231 North,,11:00 AM - 10:00 PM,Troy,AL,36081,31.7945,-85.9655
128,Pizza Hut,1110 N Chalkville Rd,Ste 100,10:00 AM - 10:00 PM,Trussville,AL,35173,33.6339,-86.5981
129,Pizza Hut Express,160 McCorvey Drive,University Of Alabama,,Tuscaloosa,AL,35487,33.3072,-87.5859
130,Pizza Hut,1875 McFarland Blvd N,Ste 150,10:30 AM - 10:00 PM,Tuscaloosa,AL,35406,33.2722,-87.536
131,Pizza Hut,5000 Oscar Baxter Dr,,10:00 AM - 9:00 PM,Tuscaloosa,AL,35401,33.1969,-87.5627
132,Pizza Hut,703 W. Martin Luther King Hwy.,Suite 4,11:00 AM - 8:00 PM,Tuskegee,AL,36083,32.4316,-85.6861
133,Pizza Hut,3009 20th Ave,,10:30 AM - 10:00 PM,Valley,AL,36854,32.8113,-85.1749
134,Pizza Hut,5229 US Hwy 231,,10:00 AM - 10:00 PM,Wetumpka,AL,36092,32.5927,-86.2153
135,Pizza Hut,2184 Hwy 43,,11:00 AM - 10:00 PM,Winfield,AL,35594,33.9303,-87.7972
136,Pizza Hut,415 W. Cherry St.,Suite 105,11:00 AM - 10:00 PM,Alma,AR,72921,35.5,-94.2073
137,Pizza Hut,1201 North 10th Street,,10:30 AM - 10:00 PM,Arkadelphia,AR,71923,34.1153,-93.069
138,Pizza Hut,142 Hwy 62/412,,10:30 AM - 10:00 PM,Ash Flat,AR,72513,36.2201,-91.6421
139,Pizza Hut,1110 S. Constitution Ave.,,10:30 AM - 10:00 PM,Ashdown,AR,71822,33.6787,-94.1351
140,Pizza Hut,3115 Harrison St,,11:00 AM - 12:00 AM,Batesville,AR,72501,35.7826,-91.6352
141,Pizza Hut,2043 W. Center St.,,10:30 AM - 10:00 PM,Beebe,AR,72012,35.0937,-91.9074
142,Pizza Hut,30 Sugar Creek Ctr.,,10:00 AM - 10:00 PM,Bella Vista,AR,72714,36.4676,-94.2166
143,Pizza Hut,1050 Salem Rd.,,11:00 AM - 10:00 PM,Benton,AR,72019,34.604,-92.6259
144,Pizza Hut,1202 Military Road,,11:00 AM - 10:00 PM,Benton,AR,72015,34.4933,-92.5896
145,Pizza Hut,912 W Trimble Ave,,11:00 AM - 9:00 PM,Berryville,AR,72616,36.3519,-93.5587
146,Pizza Hut,825 E. Main St.,Suite J,10:30 AM - 10:00 PM,Blytheville,AR,72315,35.9273,-89.919
147,Pizza Hut,1516 N. Main Street,,10:45 AM - 10:00 PM,Brinkley,AR,72021,34.8781,-91.1886
148,Pizza Hut,2919 N Reynolds Rd.,,11:00 AM - 10:00 PM,Bryant,AR,72022,34.6068,-92.492
149,Pizza Hut Express,7377 Alcoa Rd,,,Bryant,AR,72022,34.6068,-92.492
150,Pizza Hut,622 W Main St,,10:30 AM - 10:00 PM,Cabot,AR,72023,34.9457,-92.0318
151,Pizza Hut,306 E Centerton Blvd,,10:30 AM - 11:00 PM,Centerton,AR,72719,36.367,-94.3089
152,Pizza Hut,1151 S Rogers St,,10:30 AM - 10:00 PM,Clarksville,AR,72830,35.4908,-93.4911
153,Pizza Hut,160 Bone St.,,10:45 AM - 10:00 PM,Clinton,AR,72031,35.6045,-92.4758
154,Pizza Hut,1825 E. Oak St.,,10:30 AM - 10:00 PM,Conway,AR,72032,35.0842,-92.4236
155,Pizza Hut Express,201 Donaghey Avenue,University Of Central Arkansas,,Conway,AR,72035,35.1053,-92.3549
156,Pizza Hut Express,501 Elsinger Blvd.,,,Conway,AR,72032,35.0842,-92.4236
157,Pizza Hut,705 Club Lane,Suite 101,10:00 AM - 12:00 AM,Conway,AR,72034,35.0823,-92.4683
